asset,model,aic,bic,log_likelihood,persistence,params
LINK/USD,GARCH,1344.5300249742368,1362.717166617279,-668.2650124871184,,"{'mu': 0.0013034644330190157, 'omega': 0.1359523368590784, 'alpha[1]': 0.22126731498596486, 'beta[1]': 0.47294298741463375}"
LINK/USD,EGARCH,1338.3199963551115,1356.5071379981537,-665.1599981775557,,"{'mu': -0.005003939705744072, 'omega': -0.2623289218653124, 'alpha[1]': 0.3843118057376321, 'beta[1]': 0.6948712618419252}"
LINK/USD,GJR-GARCH,1337.3346091470385,1360.068536200841,-663.6673045735192,,"{'mu': -0.005549169670097848, 'omega': 0.10011350208251929, 'alpha[1]': 0.06357163240393977, 'gamma[1]': 0.2424471408701381, 'beta[1]': 0.5968279428183797}"
ETH/USD,GARCH,920.5661644435513,938.7533060865934,-456.28308222177566,,"{'mu': 0.01616083031864613, 'omega': 0.09587323778373491, 'alpha[1]': 0.3496643090972663, 'beta[1]': 0.30505534068663986}"
ETH/USD,EGARCH,916.7079370809669,934.895078724009,-454.35396854048344,,"{'mu': 0.016375956592221463, 'omega': -0.6413620745846079, 'alpha[1]': 0.507737918481324, 'beta[1]': 0.5517710360937584}"
ETH/USD,GJR-GARCH,918.3352272611029,941.0691543149055,-454.16761363055144,,"{'mu': 0.009951738105459858, 'omega': 0.08739737012159546, 'alpha[1]': 0.16047109134112175, 'gamma[1]': 0.26980531425498466, 'beta[1]': 0.3789870014074291}"
DOT/USD,GARCH,1464.233207197298,1482.4203488403402,-728.116603598649,,"{'mu': 0.02060496449088881, 'omega': 0.24730324363091655, 'alpha[1]': 0.10439726988542761, 'beta[1]': 0.3883972265127452}"
DOT/USD,EGARCH,1466.1688720340826,1484.3560136771248,-729.0844360170413,,"{'mu': 0.027118314348066122, 'omega': -0.34766060793648995, 'alpha[1]': 0.20780422792369846, 'beta[1]': 0.5107139651544843}"
DOT/USD,GJR-GARCH,1463.5970461800832,1486.3309732338857,-726.7985230900416,,"{'mu': 0.01666040550250329, 'omega': 0.22893676714605468, 'alpha[1]': 0.04012118521404095, 'gamma[1]': 0.10995791635376052, 'beta[1]': 0.43521302965487796}"
BTC/USD,GARCH,182.0960990913662,200.2832407344083,-87.0480495456831,,"{'mu': 0.011829404348652272, 'omega': 0.03857663859983001, 'alpha[1]': 0.2697591322640868, 'beta[1]': 0.28533186613814326}"
BTC/USD,EGARCH,168.96067475340433,187.14781639644644,-80.48033737670217,,"{'mu': 0.015226356790925344, 'omega': -1.104014081409412, 'alpha[1]': 0.48933607690480535, 'beta[1]': 0.557665318026213}"
BTC/USD,GJR-GARCH,183.85868172409528,206.5926087778979,-86.92934086204764,,"{'mu': 0.011470522171992478, 'omega': 0.04287368456089223, 'alpha[1]': 0.23304174337047093, 'gamma[1]': 0.07559465435318925, 'beta[1]': 0.23016417445038587}"
ADA/USD,GARCH,1297.0682335668653,1315.2553752099075,-644.5341167834326,,"{'mu': -0.00026182133186546715, 'omega': 0.19142768499119034, 'alpha[1]': 0.20980652811955797, 'beta[1]': 0.3114854590230774}"
ADA/USD,EGARCH,1292.4180685678866,1310.6052102109288,-642.2090342839433,,"{'mu': -0.0038717559241318094, 'omega': -0.455249944260071, 'alpha[1]': 0.3973321447832881, 'beta[1]': 0.5179515708789107}"
ADA/USD,GJR-GARCH,1297.7051230448246,1320.4390500986271,-643.8525615224123,,"{'mu': -0.003368905181321711, 'omega': 0.18530807633110352, 'alpha[1]': 0.1374137891702564, 'gamma[1]': 0.11208419649316614, 'beta[1]': 0.3408247570151684}"
